"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2013 in 1000 USD ","2014 in 1000 USD ","2015 in 1000 USD ","2016 in 1000 USD "
"H4","ARG","040630","Argentina","WLD"," World","Export",6,1240.304,1122.819,851.489,785.447
"H4","ARG","040640","Argentina","WLD"," World","Export",6,4206.438,4519.017,7403.233,6911.87
"H4","ARG","040690","Argentina","WLD"," World","Export",6,131475.234,172913.797,97847.292,82351.258
"H4","ARG","040711","Argentina","WLD"," World","Export",6,,1969.643,3587.684,46.691
"H4","ARG","040719","Argentina","WLD"," World","Export",6,,,81,
"H4","ARG","040721","Argentina","WLD"," World","Export",6,,375.041,456.909,
"H4","ARG","040811","Argentina","WLD"," World","Export",6,4297.143,3351.068,2805.498,2761.337
"H4","ARG","040891","Argentina","WLD"," World","Export",6,12026.795,14463.475,15511.515,11080.557
"H4","ARG","040899","Argentina","WLD"," World","Export",6,,,171.938,1117.447
"H4","ARG","040900","Argentina","WLD"," World","Export",6,212636.733,204437.522,163829.341,168867.877
"H4","ARG","041000","Argentina","WLD"," World","Export",6,337.63,311.675,361.93,102
"H4","ARG","050400","Argentina","WLD"," World","Export",6,47475.593,43385.414,33011.347,29823.724
"H4","ARG","050510","Argentina","WLD"," World","Export",6,0.093,,,
"H4","ARG","050590","Argentina","WLD"," World","Export",6,16176.162,15707.961,12852.595,7223.117
"H4","ARG","050690","Argentina","WLD"," World","Export",6,95.343,219.277,127.769,230.475
"H4","ARG","050790","Argentina","WLD"," World","Export",6,226.463,188.185,190.315,147.052
"H4","ARG","051000","Argentina","WLD"," World","Export",6,3786.772,4329.824,5321.544,5077.015
"H4","ARG","051110","Argentina","WLD"," World","Export",6,1936.238,1922.888,2036.325,1837.83
"H4","ARG","051191","Argentina","WLD"," World","Export",6,180.51,128.199,158.696,473.259
"H4","ARG","051199","Argentina","WLD"," World","Export",6,6322.083,7417.741,8252.821,6301.687
"H4","ARG","060110","Argentina","WLD"," World","Export",6,,,,8.514
"H4","ARG","060210","Argentina","WLD"," World","Export",6,12,,,
"H4","ARG","060220","Argentina","WLD"," World","Export",6,301.779,91.998,124.26,258.012
"H4","ARG","060240","Argentina","WLD"," World","Export",6,17,16.32,,
"H4","ARG","060290","Argentina","WLD"," World","Export",6,2110.467,2904.908,1928.246,1813.727
"H4","ARG","060490","Argentina","WLD"," World","Export",6,129.115,65.667,40.238,57.702
"H4","ARG","070110","Argentina","WLD"," World","Export",6,2301.878,1291.845,79.81,515.53
"H4","ARG","070190","Argentina","WLD"," World","Export",6,9026.044,2624.044,5291.762,18687.249
"H4","ARG","070200","Argentina","WLD"," World","Export",6,1514.075,1465.066,1571.531,1337.802
"H4","ARG","070310","Argentina","WLD"," World","Export",6,89542.446,33783.47,19012.043,19423.706
"H4","ARG","070320","Argentina","WLD"," World","Export",6,136373.711,107623.862,83567.656,161679.859
"H4","ARG","070390","Argentina","WLD"," World","Export",6,93.676,71.248,,
