Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,EFTA,391000,Silicones in primary forms.,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,101126.171,104290.59,94688.362,92608.327
H4,EFTA,391110,"- Petroleum resins, coumarone, inde",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,11049.214,8077.395,7057.462,7190.487
H4,EFTA,391190,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,63390.546,64146.061,53400.322,49989.201
H4,EFTA,391211,-- Non-plasticised,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,4.062,98.741,116.175,122.624
H4,EFTA,391212,-- plasticised,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,275.212,110.188,138.561,40.867
H4,EFTA,391220,- Cellulose nitrates (including col,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,3245.243,2871.847,2141.627,1888.73
H4,EFTA,391231,-- Carboxymethylcellulose and its s,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,10628.753,10430.429,6725.999,4850.332
H4,EFTA,391239,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,16082.839,12567.617,11065.011,11094.627
H4,EFTA,391290,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,14517.16,13411.806,9826.375,11829.79
H4,EFTA,391310,"- Alginic acid, its salts and ester",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2792.059,2167.833,2844.645,1551.239
H4,EFTA,391390,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,91924.344,95571.475,77484.808,65670.551
H4,EFTA,391400,Ion-exchangers based on polymers of,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,47434.516,43454.706,53860.82,70156.158
H4,EFTA,391510,- of polymers of Ethylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,3120.544,3087.471,2309.44,2672.189
H4,EFTA,391520,- of polymers of Styrene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,585.559,499.064,141.212,48.05
H4,EFTA,391530,- of polymers of Vinyl chloride,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,265.514,590.229,242.948,393.42
H4,EFTA,391590,- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,5525.852,5264.991,2799.56,3414.932
H4,EFTA,391610,- of polymers of Ethylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,15903.197,18575.413,12997.135,14442.281
H4,EFTA,391620,- of polymers of Vinyl chloride,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,78506.881,72880.579,51371.51,54574.407
H4,EFTA,391690,- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,63981.2,68358.985,59498.681,57699.572
H4,EFTA,391710,- Artificial guts (sausage casings),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,13251.501,12048.052,11579.309,10556.342
H4,EFTA,391721,-- of polymers of Ethylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,76363.93,79870.337,77205.459,80493.875
H4,EFTA,391722,-- of polymers of propylene,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,32019.243,33419.599,26606.42,29908.895
H4,EFTA,391723,-- of polymers of Vinyl chloride,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,34450.234,31157.799,26576.487,24702.535
H4,EFTA,391729,-- of Other plastics,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,46572.599,47532.568,45976.824,42670.529
H4,EFTA,391731,"-- Flexible tubes, pipes and hoses,",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,26271.753,25281.908,23511.041,17182.611
