Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,ARG,30499,-- Other,Argentina,WLD, World,Export,6,1716.742,1262.259,298.682,27.037
H4,ARG,30510,"- Flours, meals and pellets of Fish",Argentina,WLD, World,Export,6,21.7,34.9,9,7.5
H4,ARG,30539,-- Other,Argentina,WLD, World,Export,6,1013.612,604.036,141.77,675.922
H4,ARG,30541,-- Pacific salmon (Oncorhynchus ner,Argentina,WLD, World,Export,6,,0.297,0.97,0.158
H4,ARG,30543,"-- Trout (Salmo trutta, Oncorhynchu",Argentina,WLD, World,Export,6,,,0.128,
H4,ARG,30549,-- Other,Argentina,WLD, World,Export,6,,0.13,,
H4,ARG,30559,-- Other,Argentina,WLD, World,Export,6,512.036,559.394,201.206,268.151
H4,ARG,30563,-- Anchovies (Engraulis spp.),Argentina,WLD, World,Export,6,13417.674,15652.049,12611.435,14507.268
H4,ARG,30571,-- Shark fins,Argentina,WLD, World,Export,6,48.72,,,
H4,ARG,30572,"-- Fish heads, tails and maws",Argentina,WLD, World,Export,6,3.2,,,
H4,ARG,30614,-- Crabs,Argentina,WLD, World,Export,6,19499.275,17020.006,16447.644,15526.48
H4,ARG,30616,-- Cold-water shrimps and prawns (P,Argentina,WLD, World,Export,6,97.252,9.606,23.701,
H4,ARG,30617,-- Other shrimps and prawns,Argentina,WLD, World,Export,6,616134.804,759806.655,763760.116,1002815.475
H4,ARG,30627,-- Other shrimps and prawns,Argentina,WLD, World,Export,6,,,2.976,
H4,ARG,30711,"-- Live, fresh or chilled",Argentina,WLD, World,Export,6,,,0.081,
H4,ARG,30719,-- Other,Argentina,WLD, World,Export,6,,,,0.09
H4,ARG,30729,-- Other,Argentina,WLD, World,Export,6,47585.735,54208.406,49392.972,55894.109
H4,ARG,30739,-- Other,Argentina,WLD, World,Export,6,0.924,2.635,5.096,4.967
H4,ARG,30749,-- Other,Argentina,WLD, World,Export,6,12.088,5.186,6.227,14.166
H4,ARG,30759,-- Other,Argentina,WLD, World,Export,6,0.072,0.61,4.798,4.037
H4,ARG,30779,-- Other,Argentina,WLD, World,Export,6,,0.464,0.51,0.324
H4,ARG,30791,"-- Live, fresh or chilled",Argentina,WLD, World,Export,6,39.071,,21.116,47.199
H4,ARG,30799,-- Other,Argentina,WLD, World,Export,6,235848.452,164919.573,104201.985,94596.761
H4,ARG,40110,"- of a fat content, by weight, Not",Argentina,WLD, World,Export,6,32.926,12.605,16.766,33.654
H4,ARG,40120,"- of a fat content, by weight, exce",Argentina,WLD, World,Export,6,3042.028,2721.801,1686.462,735.737
H4,ARG,40150,"- of a fat content, by weight, exce",Argentina,WLD, World,Export,6,145.077,115.502,144.884,86.247
H4,ARG,40210,"- in powder, granules or Other soli",Argentina,WLD, World,Export,6,106724.894,92275.189,62144.33,57283.35
H4,ARG,40221,-- Not containing added sugar or ot,Argentina,WLD, World,Export,6,845678.489,713530.14,496027.237,294335.541
H4,ARG,40310,- Yogurt,Argentina,WLD, World,Export,6,5188.206,3928.222,4730.511,2853.059
H4,ARG,40390,- Other,Argentina,WLD, World,Export,6,1012.501,659.053,529.777,628.355
H4,ARG,40410,"- Whey and modified Whey, whether o",Argentina,WLD, World,Export,6,140379.245,133621.77,83364.536,61549.07
H4,ARG,40490,- Other,Argentina,WLD, World,Export,6,12411.85,8899.585,6487.635,5545.271
H4,ARG,40510,- Butter,Argentina,WLD, World,Export,6,54564.825,45305.89,25940.594,15242.985
H4,ARG,40590,- Other,Argentina,WLD, World,Export,6,24795.771,17909.548,4792.137,6518.068
H4,ARG,40610,- fresh (unripened or uncured) chee,Argentina,WLD, World,Export,6,110012.66,99782.014,62695.875,93980.394
H4,ARG,40620,"- Grated or powdered cheese, of all",Argentina,WLD, World,Export,6,9282.637,9139.289,7531.15,6307.571
H4,ARG,40630,"- Processed cheese, Not Grated or P",Argentina,WLD, World,Export,6,1240.304,1122.819,851.489,785.447
H4,ARG,40640,- Blue-veined cheese and Other chee,Argentina,WLD, World,Export,6,4206.438,4519.017,7403.233,6911.87
H4,ARG,40690,- Other cheese,Argentina,WLD, World,Export,6,131475.234,172913.797,97847.292,82351.258
H4,ARG,40711,-- of Fowls of the species Gallus d,Argentina,WLD, World,Export,6,,1969.643,3587.684,46.691
H4,ARG,40719,-- Other,Argentina,WLD, World,Export,6,,,81,
H4,ARG,40721,-- of Fowls of the species Gallus d,Argentina,WLD, World,Export,6,,375.041,456.909,
H4,ARG,40811,-- Dried,Argentina,WLD, World,Export,6,4297.143,3351.068,2805.498,2761.337
H4,ARG,40891,-- Dried,Argentina,WLD, World,Export,6,12026.795,14463.475,15511.515,11080.557
H4,ARG,40899,-- Other,Argentina,WLD, World,Export,6,,,171.938,1117.447
H4,ARG,40900,Natural honey.,Argentina,WLD, World,Export,6,212636.733,204437.522,163829.341,168867.877
H4,ARG,41000,"Edible products of animal origin, n",Argentina,WLD, World,Export,6,337.63,311.675,361.93,102
H4,ARG,50400,"Guts, bladders and stomachs of anim",Argentina,WLD, World,Export,6,47475.593,43385.414,33011.347,29823.724
H4,ARG,50510,- Feathers of a kind used for stuff,Argentina,WLD, World,Export,6,0.093,,,
H4,ARG,50590,- Other,Argentina,WLD, World,Export,6,16176.162,15707.961,12852.595,7223.117
H4,ARG,50690,- Other,Argentina,WLD, World,Export,6,95.343,219.277,127.769,230.475
H4,ARG,50790,- Other,Argentina,WLD, World,Export,6,226.463,188.185,190.315,147.052
H4,ARG,51000,"Ambergris, castoreum, civet and mus",Argentina,WLD, World,Export,6,3786.772,4329.824,5321.544,5077.015
H4,ARG,51110,- bovine semen,Argentina,WLD, World,Export,6,1936.238,1922.888,2036.325,1837.83
H4,ARG,51191,"-- Products of fish or crustaceans,",Argentina,WLD, World,Export,6,180.51,128.199,158.696,473.259
H4,ARG,51199,-- Other,Argentina,WLD, World,Export,6,6322.083,7417.741,8252.821,6301.687
H4,ARG,60110,"- Bulbs, tubers, tuberous roots, co",Argentina,WLD, World,Export,6,,,,8.514
H4,ARG,60210,- Unrooted cuttings and slips,Argentina,WLD, World,Export,6,12,,,
H4,ARG,60220,"- Trees, shrubs and bushes, grafted",Argentina,WLD, World,Export,6,301.779,91.998,124.26,258.012
